kaptCode,schul_nm,schul_dstnc
A14206307,서울번동초등학교,173
A14206310,서울오현초등학교,233
A14270301,서울수송초등학교,38
A14276311,서울번동초등학교,0
A14286108,서울번동초등학교,244
A14286203,서울번동초등학교,363
A10021929,서울우이초등학교,271
A14207203,서울우이초등학교,271
A14278101,서울인수초등학교,49
A14209001,서울백운초등학교,188
A10021859,서울쌍문초등학교,130
A10022118,서울창경초등학교,220
A10022967,서울가인초등학교,399
A10023732,서울백운초등학교,310
A10023827,서울가인초등학교,255
A10024827,서울숭미초등학교,7
A10026175,서울쌍문초등학교,77
A13203001,서울백운초등학교,2
A13203102,서울숭미초등학교,0
A13203202,서울창경초등학교,269
A13203302,서울쌍문초등학교,258
A13203303,서울숭미초등학교,397
A13203401,서울숭미초등학교,21
A13203408,서울창경초등학교,181
A13286002,서울창경초등학교,377
A13286105,서울창경초등학교,131
A13286106,서울신학초등학교,269
A13286107,서울창경초등학교,300
A13286109,서울창경초등학교,257
A13286110,서울창경초등학교,133
A13286203,서울창경초등학교,17
A13286304,서울창경초등학교,12
A13286904,서울창경초등학교,7
A13287503,서울쌍문초등학교,168
A13287801,서울쌍문초등학교,216
A13295201,서울숭미초등학교,247
A10026279,서울창도초등학교,365
A10026856,서울신방학초등학교,268
A10027555,서울방학초등학교,150
A13202002,서울창도초등학교,18
A13202102,서울방학초등학교,233
A13202103,서울창도초등학교,277
A13202302,서울신방학초등학교,161
A13202304,서울신방학초등학교,215
A13202308,서울방학초등학교,151
A13202312,서울신학초등학교,0
A13272101,서울창도초등학교,390
A13276414,서울신학초등학교,73
A13276415,서울초당초등학교,185
A13276416,서울초당초등학교,8
A13282510,서울초당초등학교,21
A13283405,서울신학초등학교,100
A13283611,서울초당초등학교,8
A13285401,서울창도초등학교,355
A13285406,서울창도초등학교,234
A13285503,서울신방학초등학교,16
A13285507,서울신방학초등학교,168
A13285601,서울신방학초등학교,144
A10024782,서울신창초등학교,219
A10026109,서울창일초등학교,174
A13201003,서울창원초등학교,389
A13204001,서울창동초등학교,54
A13204002,서울창동초등학교,30
A13204003,서울신화초등학교,24
A13204103,서울창일초등학교,25
A13204104,서울창일초등학교,7
A13204105,서울창일초등학교,158
A13204201,서울수송초등학교,108
A13204203,서울수송초등학교,327
A13204204,서울창림초등학교,113
A13204301,서울신화초등학교,37
A13204302,서울신창초등학교,305
A13204402,서울자운초등학교,11
A13204404,서울자운초등학교,175
A13204406,서울자운초등학교,12
A13204408,서울월천초등학교,196
A13204409,서울자운초등학교,0
A13204501,서울가인초등학교,99
A13204502,서울창동초등학교,74
A13204503,서울창동초등학교,231
A13204505,서울창동초등학교,97
A13204506,서울창동초등학교,13
A13204507,서울창동초등학교,81
A13204508,서울창원초등학교,21
A13204510,서울가인초등학교,21
A13272201,서울창일초등학교,43
A13275001,서울수송초등학교,255
A13290003,서울월천초등학교,274
A13290105,서울월천초등학교,2
A13290107,서울월천초등학교,6
A13290404,서울창동초등학교,181
A13290809,서울창원초등학교,5
A13292701,서울자운초등학교,307
A10026714,서울누원초등학교,182
A13201002,서울누원초등학교,254
A13201202,서울누원초등학교,23
A13201203,서울누원초등학교,323
A13201209,서울누원초등학교,7
A13275301,서울누원초등학교,230
A13275303,서울누원초등학교,143
A13280104,서울누원초등학교,371
A13281802,서울도봉초등학교,397
A10021254,서울선곡초등학교,309
A10024636,서울선곡초등학교,220
A10024812,서울한천초등학교,359
A13905003,서울한천초등학교,288
A13905101,서울선곡초등학교,387
A13905102,서울선곡초등학교,281
A13905105,서울선곡초등학교,250
A13905202,서울신화초등학교,92
A13905204,서울신화초등학교,153
A13905208,서울신화초등학교,9
A13905301,서울한천초등학교,326
A13905302,서울녹천초등학교,0
A13984003,서울녹천초등학교,62
A13984004,서울한천초등학교,2
A13984005,서울한천초등학교,0
A13984409,서울연지초등학교,0
A13984411,서울연지초등학교,20
A13984603,서울선곡초등학교,64
A13984604,서울선곡초등학교,123
