kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A36179205,수곡두진하트리움아파트,위탁관리,7,(주)백운에프엠,위탁관리,6,,위탁관리,7,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,2250,단일계약,상주선임,P형,부스타방식,위탁관리,32,475,367,무,137,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",5~10분이내,,,,관공서(수곡2동 주민자치센터) 병원(정동호치과) 대형상가(gs 마-트) 공원(잠두봉),초등학교(수곡초등학교) 중학교(수곡중학교) 고등학교(산남고등학교) 대학교(청주교대),4,13,Y
A36179303,세원청실,위탁관리,5,주식회사 일택,위탁관리,3,주식회사 일택,위탁관리,3,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,990,단일계약,위탁선임,P형,부스타방식,위탁관리,14,316,124,무,64,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(수곡1동 주민자치센터) 병원(우인의원) 대형상가(E마-트) 공원(잠두봉),초등학교(수곡) 중학교(남중) 고등학교(충북고) 대학교(청주교대),0,5,Y
A36179402,한마음2차아파트,자치관리,3,,자치관리,4,,자치관리,2,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철근콘크리트구조,700,단일계약,위탁선임,P형,부스타방식,위탁관리,9,128,152,무,64,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소, 기타",5~10분이내,,,,"관공서(수곡2동 주민자치센터) 병원(이용주소아과,햇살가정의학과) 대형상가(E마-트) 공원(잠두봉)",초등학교(수곡) 중학교(수곡중) 고등학교(산남고) 대학교(청주교대),8,0,Y
A36179404,한마음1차아파트,자치관리,4,,자치관리,2,,자치관리,3,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,182,단일계약,위탁선임,P형,고가수조식,위탁관리,15,223,123,무,68,"관리사무소, 노인정, 자전거보관소",5~10분이내,,,,관공서(수곡1동 주민자치센터) 병원(하늘소한의원) 대형상가(E마-트) 공원(잠두봉),초등학교(수곡) 중학교(남중) 고등학교(충북고) 대학교(청주교대),7,0,Y
A36123001,남양휴튼,위탁관리,7,부건피앤피주식회사,자치관리(직영),4,,자치관리(직영),6,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,기구부착식",철근콘크리트구조,3900,단일계약,상주선임,R형,부스타방식,위탁관리,18,97,857,유,220,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,관공서(성화동 주민센터) 병원(충북대학교 병원) 백화점(현대백화점) 대형상가(홈프러스) 공원(장전공원) 기타(KBS),초등학교(성화초등) 중학교(성화중학교) 고등학교(세광고등학교) 대학교(충북대학교),0,34,Y
A36123003,성화센트럴파크,위탁관리,6,주식회사 일택,위탁관리,4,(주)일택,위탁관리,4,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,1500,단일계약,상주선임,R형,부스타방식,위탁관리,18,322,223,유,118,"관리사무소, 노인정, 문고, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,병원() 공원(),초등학교(성화) 중학교(성화) 대학교(),7,12,Y
A36123004,청주성화1,위탁관리,5,주택관리공단,위탁관리,6,(합)지엔지,위탁관리,4,거점장비수거방식,위탁관리,3,"분무식,기구부착식",철근콘크리트구조,1150,단일계약,상주선임,R형,부스타방식,위탁관리,16,299,316,무,70,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,,,,관공서(동사무소) 병원(충북대) 대형상가(E마트) 공원(구룡공원) 기타(KBS방송국),초등학교(산남) 중학교(산남) 고등학교(산남) 대학교(충북대),0,5,Y
A36123005,청주성화2,위탁관리,8,주택관리공단,위탁관리,10,(합)지엔지,위탁관리,7,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,1750,단일계약,상주선임,R형,부스타방식,위탁관리,66,548,600,무,145,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(행정복지센터) 병원(충북대) 대형상가(홈플러스) 공원(구룡공원) 기타(KBS방송국),초등학교(성화) 중학교(성화) 고등학교(산남) 대학교(충북대),0,10,Y
A36123006,청주성화휴먼시아4단지,위탁관리,7,부건피앤피주식회사,위탁관리,6,(주)더빌코리아,자치관리,4,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,2000,단일계약,상주선임,R형,부스타방식,위탁관리,14,481,329,무,108,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(동사무소) 병원(충북대) 대형상가(홈플러스) 공원(구룡공원) 기타(KBS방송국),초등학교(성화) 중학교(성화) 고등학교(세광) 대학교(충북대),0,17,Y
A36123007,청주성화휴먼시아5단지,위탁관리,6,부건피앤피주식회사,위탁관리,6,더빌코리아,자치관리(직영),6,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,1900,단일계약,상주선임,R형,부스타방식,위탁관리,16,299,406,무,87,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터",5~10분이내,,,,관공서(동사무소) 병원(충북대) 대형상가(E마트) 공원(구룡공원) 기타(KBS방송국),초등학교(산남) 중학교(산남) 고등학교(산남) 대학교(충북대),0,10,Y
A36123008,성화호반베르디움,위탁관리,8,부건피앤피주식회사,위탁관리,4,(주)더빌코리아,위탁관리,6,음식물쓰레기종량제,위탁관리,3,"도포식,분무식,기구부착식",기타콘크리트구조,3908,종합계약,상주선임,GR형,부스타방식,위탁관리,21,5,1264,유,238,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,,,,"관공서(동사무소, 법원, 검찰청,충북선거관리위원회) 병원(충북대병원, 하나병원) 대형상가(홈플러스) 공원(장구봉)",초등학교(죽림) 중학교(서경) 고등학교(서원고) 대학교(충북대),0,26,Y
A36123009,성화다안채,위탁관리,6,부건피앤피주식회사,위탁관리,4,(주)더빌코리아,위탁관리,4,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,2800,단일계약,상주선임,R형,부스타방식,위탁관리,15,116,694,유,139,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,,,,"관공서(성화죽림개신주민센터) 병원(충북대학교병원, 충북대학교장례식장) 백화점(현대백화점, 롯데아울렛) 대형상가(홈플러스, 이마트) 공원(장전공원, 구룡산) 기타(산당산성, 부모산성, 직지박물관)","초등학교(성화초등학교, 죽림초등학교) 중학교(성화중학교, 산남중학교) 고등학교(산남고등학교, 충북고등학교) 대학교(충북대학교, 서원대학교)",10,6,Y
A10020263,청주동일하이빌파크레인1단지,위탁관리,7,(주)백운에프엠,위탁관리,,(주)티에스관리산업,위탁관리,10,,관리방식미정,,,철근콘크리트구조,6500,단일계약,상주선임,GR형,부스타방식,자치관리(직영),17,0,1200,유,338,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",,,,,,,0,64,Y
A10020268,더샵 청주 그리니티,위탁관리,10,부건피앤피(주),위탁관리,,부건피앤피(주),위탁관리,14,음식물쓰레기종량제,위탁관리,4,분무식,철골콘크리트구조,5750,종합계약,상주선임,R형,부스타방식,위탁관리,38,1800,138,유,31,,,,,,,,10,65,Y
A10021397,개신태암베스트윙아파트,위탁관리,5,(주)백운에프엠,,,,위탁관리,1,음식물쓰레기종량제,자치관리,2,분무식,철골철근콘크리트구조,600,단일계약,위탁선임,P형,부스타방식,위탁관리,5,72,93,유,56,"관리사무소, 어린이놀이터, 자전거보관소",5~10분이내,,,,,,8,0,Y
A10023537,우평원더라움,위탁관리,4,주식회사 일택,관리방식미정,0,,위탁관리,2,음식물쓰레기종량제,위탁관리,3,분무식,철골철근콘크리트구조,960,단일계약,위탁선임,R형,부스타방식,위탁관리,5,22,150,유,40,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,관공서() 병원() 백화점() 대형상가() 공원(),초등학교() 중학교() 고등학교() 대학교(),0,3,Y
A10026016,청주 시영아파트(개신동),자치관리(직영),,,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,0,0,Y
A10026443,우정한사랑아파트,위탁관리,1,부건피앤피주식회사,위탁관리,2,부건피앤피,관리방식미정,0,음식물쓰레기종량제,위탁관리,1,분무식,철골철근콘크리트구조,191,종합계약,위탁선임,P형,고가수조식,위탁관리,2,40,26,무,16,"관리사무소, 노인정, 자전거보관소",5분이내,,,,병원() 공원(),대학교(),3,0,Y
A36170914,개신주공1단지아파트,위탁관리,9,주식회사 일택,위탁관리,12,(주)더빌코리아,위탁관리,7,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,2300,단일계약,상주선임,R형,부스타방식,위탁관리,33,289,772,무,184,"관리사무소, 노인정, 문고, 어린이놀이터, 유치원, 자전거보관소",5~10분이내,,,,관공서(동사무소) 병원(충북대) 대형상가(홈플러스) 공원(불무골),초등학교(개신) 중학교(가경) 고등학교(외국어) 대학교(충북대),0,10,Y
